,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
21,Raw Beet Salad with Apples and Carrots,,,1,7,13,112,,81,3,8.5,10,0,10 mins,5
22,Broccoli Salad,burger,1,6.5,11.5,11,171,8.5,279,2,6,5,10,15 mins,5
23,Salmon Caesar Salad,lunch,1,42,20,6.5,364,97.5,414.5,3,1.5,15,15,30 mins,4.95
24,Rainbow Quinoa Salad with Lemon Dressing,Quinoa,2,10.5,17,51,394,,184,7,7,15,15,30 mins,4.62
25,Kale and Brussels Sprout Salad with Parmesan and Pecans,,1,4,14,7,165,6,218,2.5,2.5,20,0,20 mins,4.89
26,Lemony Hearts of Palm Salad with Avocado,Dinner,1,2.5,12.5,8,145,,166,4,-1,10,0,10 mins,4.75
27,"Fall Brussels Sprout Salad with Apples, Pecans, and Blue Cheese",,1,5,13.5,17,202,4.5,154,5,8,20,0,20 mins,5
28,Lentil Salad,lunch,1,10,3.5,29.5,181,,251,5.5,3,15,20,35 mins,4.96
29,Corn Tomato Avocado Salad,,1,2.5,8.5,14,128,,83,4,3.5,5,10,15 mins,4.98
30,"Black Bean, Avocado, Cucumber and Tomato Salad",lunch,1,3.5,4,12.5,94,,152,4,1.5,10,0,10 mins,4.67
31,Grilled Chicken Chickpea Salad,lunch,1,34,19.5,41,462,73.5,1103,11.5,16,5,0,5 mins,5
32,Grilled Tuna over Arugula with Lemon Vinaigrette,Dinner,1,35.5,15.5,4,298,,326.3,1.6,1.8,5,5,10 mins,4.80
33,Watermelon Arugula and Feta Salad,Lunch,1,4,11.5,11,157.5,,219.5,1,9,10,0,10 mins,5
34,Tuna Poke Salad,Dinner,1,36,23,16,404,43,1211.5,7.5,3.5,15,0,15 mins,5
35,Arugula Pasta Salad with Chickpeas and Sun Dried Tomatoes (no mayo),Dinner,2,11,9,43.5,280,2,337,8,3,5,10,15 mins,5
36,Greek Pasta Salad,,1,5,7,24,176,4,164,1.5,2,15,15,30 mins,4.81
37,Sous Vide Chicken Breast and a Cilantro Lime Chicken Avocado Salad,lunch,1,25,22.5,7.5,329,72.5,364.5,4,1,30,,2 hrs 30 mins,4.58
38,"Seared Scallop Salad with Grapefruit, Arugula and Spinach",lunch,1,19,10,16.5,217,,,2.9,1.4,10,10,20 mins,5
39,Coconut Chicken Salad with Warm Honey Mustard Vinaigrette,lunch,1,27,11,32.5,397,,,4.5,10,10,30,40 mins,4.88
40,Lemon Asparagus Couscous Salad with Tomatoes,Asparagus,1,6.5,4,30,170,,10,5,,5,,30 mins,4.78
41,Avocado Quinoa Salad,Quinoa,1,11,23,55,443,,174,16,9.5,5,20,25 mins,4.87
42,"Warm Salad with Artichoke Hearts, Roasted Peppers, Mozzarella",dinner,1,14.5,22,23,339,45,843.5,5,12,5,5,10 mins,5
43,BBQ Chicken Salad,dinner,1,30,5,22,241,83,221,4,7,5,10,15 mins,4.89
44,Tuna Egg Salad,lunch,1,30,20,4,316,450,420,,,0,15,15 mins,4.95
45,Taco Salad (Perfect for Meal Prep),dinner,1,28.5,17.5,13,313,92.5,917.5,4,5.5,10,20,30 mins,4.98
46,Leftover Turkey Harvest Cobb Salad,lunch,1,28,26,37,466,50,660,9,9,30,0,30 mins,5
47,Arugula Salmon Salad with Capers and Shaved Parmesan,dinner,1,32.5,16,2,288,86,288.5,0.5,1.2,5,10,15 mins,5
48,Air Fryer Chicken Milanese with Mediterranean Salad,Dinner,2,63,21,28.5,562,278,908.5,3.5,4.5,15,15,30 mins,5
49,Chicken Cutlet Caprese Salad,dinner,1,45.5,24,14.5,462,231.5,755.5,2,1.5,15,20,35 mins,4.93
50,Air Fryer Burst Tomato Burrata Caprese Salad,lunch,1,15,18,30,307,40,505.5,3.5,7,5,10,15 mins,4.93
51,Cilantro Chicken Salad,canned tuna,1,23,6,3,160.5,61.5,151.5,0.5,1,10,0,15 mins,4.97
52,Mayo-less Tuna Pasta Salad,lunch,1,24.5,10.5,23,271.5,37,463,3.5,1.5,10,0,10 mins,5
53,"Grilled Chicken, Strawberry, Avocado Salad with Citrus Dressing",lunch,1,30,26,14,399,83,164,5.5,6,10,15,55 mins,4.70
54,"Quinoa Salad with Kale, Cranberries and Mint",Quinoa,1,5,6,30,191,,,4,9,5,20,25 mins,5
55,Watermelon Feta Salad,,1,3.5,4,9.5,85,17,213.5,0.5,8,15,0,15 mins,5
56,Low-Yolk Egg Salad,Lunch,1,9.5,7.6,2,122,189,235,,0.5,5,20,25 mins,5
57,"Farro Salad with Feta, Cucumbers and Sun Dried Tomatoes",lunch,1,9,6.5,39,241,,177.5,6,2,10,20,30 mins,4.91
58,Navel Orange Salad with Avocado,Lunch,1,3,20,24,278.5,,48.5,7,15,15,0,15 mins,4.97
59,"Salmon Salad with Beets, Arugula, Pistachios and Pomegranates",lunch,1,33.5,26.5,18,437,85,727.5,4.5,12,15,15,30 mins,5
60,Greek Yogurt Caesar Salad Dressing,,3,6,6.5,2.5,91,10,278,0.5,1,5,0,5 mins,4.76
61,Buffalo Chickpea Salad,lunch,1,8.5,5,27,182,0.5,821,6,2.5,20,10,30 mins,4.91
62,"Baby Greens with Goat Cheese, Beets and Candied Pecans",Instant Pot,1,7,19.5,19,267,,211,2,14,10,0,10 mins,4.86
63,Tuna Salad Endive Wraps,lunch,1,22,6,4.5,160,30,415,1,1,5,0,10 mins,5
64,Kale and Butternut Squash Salad with Pears and Almonds,Dinner,1,10,27,44,428,11,456,8.5,17,10,25,35 mins,5
65,Creamy Shrimp and Celery Salad,lunch,4,25,4.5,4,160,,,0.7,1.8,5,5,10 mins,4.85
66,"Mixed Baby Greens with Pomegranate, Gorgonzola and Pecans",lunch,1,5.5,17.5,14,228,,206,3.5,9.5,5,,5 mins,5
67,Kale Salad with Quinoa and Cranberries,Quinoa,1,6,11,27,226,2,149,3,7,15,5,20 mins,4.83
68,Prosciutto Wrapped Figs with Blue Cheese (Grill or Air Fryer),appetizer,2,7.5,10.5,27,221,20.5,572,4,22,10,5,15 mins,5
69,Caprese Salad,appetizer,1,6.5,7.5,2,100,22.5,180,0.5,0.5,5,0,5 mins,
70,"Southwestern Black Bean, Quinoa and Mango Salad",Quinoa,1,6,4,27,164,,93,7,11.5,15,20,35 mins,4.90
71,Zesty Lime Shrimp and Avocado Salad,appetizer,1,25,8,7,197,221,330,3,,20,0,20 mins,4.91
72,Salmon Avocado Salad,lunch,1,25.5,20.5,12,329,62.5,287,6,2.5,10,15,25 mins,4.84
73,Chickpea Salad with Cucumbers and Tomatoes,lunch,1,6,5,29,182,29,464,6,2,10,0,10 mins,4.95
74,Vegan Caesar Salad,lunch,1,5,7,10,123,,10,2.5,2,10,20,30 mins,4.50
75,California Grilled Chicken Avocado and Mango Salad,Dinner,1,21,14.5,12,258,29,62,4,6,15,,15 mins,4.94
76,Ranch Chicken Salad,lunch,1,17.5,9.5,2,167,48,263,0.5,2.5,15,0,15 mins,4.95
77,Green Bean Salad,lunch,1,7.5,12,11,176,155,308,4.5,4,10,10,20 mins,4.86
78,Sesame Crusted Tuna Steak on Arugula,appetizer,4,36,8,16.5,290,15.5,626,1.5,11,15,3,20 mins,4.77
79,How To Make An Antipasto Salad Platter,appetizer,,,,,,,,,,10,0,10 mins,5
80,Houston’s Grilled Chicken Kale Salad with Peanut Vinaigrette,Lunch,1,31,22,26,410,73,600,5,8,10,20,30 mins,4.78
81,Chicken Salad with Avocado,lunch,2,21.5,15,10.5,255,52.5,61,4,0.5,15,0,15 mins,5
82,Summer Tomato Salad,quinoa,2,2,4,12.5,86.5,,21.5,3,1,5,0,25 mins,4.93
83,Chopped Wedge Salad,Lunch,1,10,8,5.5,132,9.5,406,2,2.5,10,5,15 mins,5
84,Greek Chickpea Salad,lunch,1,11,16,28.5,292,25,713.5,6.5,4,5,0,5 mins,4.96
85,Spicy Thai Shrimp Salad,dinner,1,28,19.5,38,420,135,864,6,14,20,5,25 mins,4.75
86,Chopped Feta Salad,dinner,2,4,16.5,4.5,173,11,289,2,2.5,15,0,15 mins,5
87,Zucchini Carpaccio,appetizer,1,3,6,5,81,5,90,2,2,20,,20 mins,5
88,Chilled Watermelon Cucumber Feta Salad,lunch,1,4,3.5,19,112,6.5,233,2,15.5,10,0,10 mins,5
89,Italian Chopped Salad,lunch,1,12,22,9,271,22.5,556,3,3.5,15,,15 mins,4.67
90,Chicken Waldorf Salad,lunch,1,19.5,10.5,17,236,46.5,622,3,15.5,10,20,30 mins,4.90
91,Grilled Peach and Watermelon Burrata Salad,Instant Pot,1,23,25,31,408,81,348,3,27,10,10,20 mins,4.89
92,Houston’s Grilled Chicken Salad,Lunch,1,29,19.5,19,365,73,745,4,8,20,15,35 mins,5
93,Low Carb Potato Salad,,3,8,20,5.5,222,206,289.5,2,2,10,25,35 mins,4.66
94,Grilled Corn Salad with Feta,lunch,2,5,8,18,153,11,200,2.5,6.5,5,15,20 mins,4.97
95,Chicken Salad with Lemon and Dill,lunch,3,31,8,1.4,207,84,167,,,5,0,5 mins,4.94
96,"Chopped Salad with Shrimp, Blue Cheese and Bacon",lunch,1,35,19,14.5,368,188,590,4,3,20,0,20 mins,5
97,Chickpea Egg Salad,lunch,1,20,16,36,375,279,278,7.5,2.5,5,,5 mins,4.94
98,Chickpea Tuna Salad,lunch,1,27,2.5,36,273,30,510,8,2,5,,5 mins,4.80
99,Houston’s Couscous Salad,,2,7,6.5,35,213,,218,4.5,11,10,10,20 mins,4.62
100,Carne Asada Steak Salad,Dinner,1,38,21.5,12,390,95,542.5,6.5,1,10,10,20 mins,4.92
101,Chickpea Avocado Salad,lunch,1,9,10,31.5,243,,42,8.5,2.5,15,,15 mins,4.93
102,Chicken and Shrimp Laap (Larb),lettuce wraps,3,34,6.5,5,220,68,795,1.5,2,10,20,30 mins,5
103,Seared Tuna Salad with Wasabi Butter Sauce,Lunch,1,37,11,12,311,80,552,2.5,2,15,15,30 mins,5
104,Ahi Tuna Watermelon Salad,appetizer,1,29.5,5.5,13,217,44,429.5,1,8,10,,1 hr,5
105,Lobster Cobb Salad,dinner,1,41,23,8,416,398,1171,3.5,2,20,0,20 mins,5
106,Grilled Chicken Salad with Strawberries and Spinach,Dinner,1,31,17,4,331,89.5,345,4,10.5,,,20 mins,5
107,Berry Salad with Almond-Cranberry Crusted Goat Cheese,dinner,2,7.5,17,16,239,13,126,3,12,20,0,20 mins,5
108,Breakfast BLT Salad,breakfast,1,17.5,18,18,292,191,335.5,7,3,,,15 mins,4.88
109,"Grilled Shrimp Salad with Orange, Endive, and Radicchio",Dinner,1,29,7.5,21,254,172,396,13,8,,,20 mins,5
110,"Asparagus Salad with Egg, Bacon and Dijon Vinaigrette",Asparagus,1,16,13,11,219,,306,5,1,,,20 mins,4.96
111,Brussels and Chickpea Salad in a Jar with Artichokes,lunch,1,15,16,35,335,14,695,9,5,5,0,10 mins,5
112,"Kale Salad with Roasted Sweet Potato, Dried Cherries, Feta & Pepitas",Lunch,1,8.5,11,42.5,288,,,6,16,,,,4.88
113,"Arugula Salad with Crispy Proscuitto, Parmesan and Fried Eggs",Dinner,1,18.5,24,8,344,216,1043,1.5,4,,,,5
114,Harvest Kale Salad with Roasted Winter Squash,,1,8,16.5,45,329,,98,11,8,,,50 mins,5
115,Blackened Chicken Fiesta Salad,lunch,1,60,13.5,40,516,166,855,9,2,10,15,25 mins,5
116,Chilled Italian Shrimp Tortellini Pasta Salad,lunch,1,37,3,29,366,251,1048,2,2,10,10,20 mins,4.81
117,Lobster Asparagus Chopped Salad,asparagus,1,27,10.5,14,247,165,699,5.5,0.5,,,15 mins,
118,"Summer Corn, Tomato and Avocado Salad with Buttermilk Dressing",lunch,1,3.5,11,11.5,147,1,137,3.5,2.5,10,,10 mins,5
119,Cobb Salad in a Jar with Buttermilk Ranch,Lunch,1,32,21,14,368,274,674,5.5,7,5,10,15 mins,5
120,"Prosciutto, Mozzarella and Fig Salad with Arugula",Dinner,1,10,12.5,12,196,32,586,2,9,,,10 mins,5
121,Peach Arugula Salad,Lunch,1,2,8,12,114,,43,3,7,10,0,10 mins,5
122,Cheeseburger Salad,burger,1,28,17,11.5,311,79,417,4,4.5,10,10,20 mins,4.99
123,Watermelon Feta Arugula Salad in Jars,lunch,1,4.5,11.5,14,170,19,281,1,10,,,15 mins,5
124,"Watermelon, Jicama and Cucumber Salad",,1,2,6.5,12,113,8,133,3,7,,,15 mins,4
125,Protein Egg and Quinoa Salad Jars,Quinoa,1,15,22,29,362,186,294,9,2,5,20,25 mins,4.88
126,"Grilled Romaine Salad with Chicken, Corn and Salsa Dressing",Dinner,1,25,14.5,17,288,108,521,5,4,5,25,30 mins,5
127,Spiralized Summer Roll Bowls with Hoisin Peanut Sauce,Dinner,1,12,7,15,164,65,382,4,6,,,10 mins,5
128,Shredded Raw Brussels Sprout Salad with Bacon and Avocado,lunch,2,10,21,18.5,284,3.5,535,9,4,8,7,15 mins,5
129,Mediterranean Bean Salad,lunch,3,8,4.5,26,175,,327,9,1,,,15 mins,5
130,Rosemary Chicken Salad with Avocado and Bacon,dinner,1,29,25,12,381,114,741,6,1,30,0,30 mins,5
131,Grilled Balsamic Steak with Tomatoes and Arugula,dinner,3,24,12,3,215,57,327,1,0.5,,,,5
132,Spiralized Carrot Salad with Lemon and Dijon,lunch,1,1,4,12,84,,278,3,6,,,15 mins,4.80
133,North African Spiced Shrimp and Chickpea Salad,lunch,6,15,8,29,243,64,458,5,0.5,,,30 mins,5
134,Asian Chicken Chopped Salad,Lettuce wraps,1,24,18,23,332,96,585,4,7,,,15 mins,5
135,Updated Waldorf Salad Cups,lettuce wraps,2,27,18,18,341,83,471,3,11,5,,35 mins,
136,Raw Spiralized Beet & Mandarin Salad with Mint,,1,1,10,23,184,,148,2,20,,,15 mins,5
137,Asian Chopped Salad with Sesame Soy Vinaigrette (In a Jar),lunch,1,8,13.5,23,231,,404,7.5,12,,,20 mins,4.45
138,Shrimp Ceviche and Avocado Salad,lunch,7,18,16,13,254,113,454,6,2,20,15,2 hrs 35 mins,5
139,Strawberry Cucumber Salad,lunch,3,1,1.5,7,47,1,20,2,4,15,,15 mins,4.60
140,White Bean Caprese Salad,lunch,3,8,4.5,18,142,12,127,4,2,,,20 mins,4.94
141,Avocado and Lump Crab Salad,lunch,1,9.5,13,9,178,50,447,5,1,10,0,10 mins,4.91
142,Watermelon Caprese Salad,,1,5.5,7.5,7,119,20,90,0.5,6.5,25,0,25 mins,5
143,Quick Cabbage Slaw,,1,1,7,7,88,,255,2,,,,15 mins,4.96
144,15 Light and Healthy Salad Recipes,asparagus,,,,,,,,,,,,,
145,Healthy Salmon Quinoa Burgers,Quinoa,1,23,13,17,277,105,338,2,5,10,20,30 mins,5
146,Spiralized Apple Cabbage Slaw,,1,1,6,12,98,,75,3,7,,,20 mins,5
147,BLT Salad with Avocado,lunch,2,10,13,13,197,19,397,5,5,5,10,15 mins,4.67
148,Bang Bang Chicken Salad,dinner,6,29,8,13,245,86,224,2,3,10,15,25 mins,4.91
149,Raw Shredded Brussels Sprout Salad with Lemon and Oil,,3,1.5,7,4.5,80,,16,2,1,15,,15 mins,5
150,Massaged Raw Kale Salad,lunch,1,4,6,3,80,7,304,1,1,5,0,5 mins,4.86
151,Chilled Lobster Salad with Sweet Summer Corn and Tomatoes,Appetizer,1,39,10.5,25.5,349,122,668,4,3.5,10,5,15 mins,5
152,Grilled Mediterranean Chicken and Quinoa Salad,Quinoa,1,20,8,8,180,7,255,1,1,15,20,35 mins,5
153,Steak & Caramelized Onions with Arugula and Pasta,quinoa,1,30,15,29.5,384,54,588,3,3,5,40,45 mins,5
154,Italian Tuna and Brown Rice Salad (Riso e Tonno),lunch,1,20,8,21,232,10,259,4,0.5,15,0,15 mins,4.28
155,Spiralized Greek Cucumber Salad with Lemon and Feta,lunch,1,7,16,16,225,25,697.5,4,1,15,,15 mins,4.72
156,Spiralized Raw Zucchini Salad with Avocado and Edamame,appetizer,1,8,18,20,254,,19,9,5,25,,25 mins,4.93
157,Grilled Shrimp and Watermelon Chopped Salad,dinner,1,22,18,12,293,121,257,2,7,25,4,29 mins,5
158,Canned Tuna Ceviche,Canned Tuna,3,15,8,8.5,153,26,187,3,1,25,0,25 mins,4.92
159,Quinoa Chickpea and Avocado Salad,Quinoa,1,9,7,41,248,,403,8,1,10,,10 mins,5
160,"Sea Scallops, Arugula and Beet Salad",,1,25,10,22,271,51,494,3,14,5,,1 hr 5 mins,3.67
161,Easy Crock Pot Chicken and Black Bean Taco Salad,Instant Pot,1,34,9,20,290,69,521,8,1,5,,4 hrs,4.94
162,Black-eyed Pea Dip,Lunch,1,4.5,4,15,107,,65,4,1,,,20 mins,5
163,Grilled Stone Fruit Salad with Honey Goat Cheese Dressing,Lunch,1,6,17,16,232,8,86,3,13,10,2,12 mins,
164,Orange and Arugula Salad with Red Onion and Gorgonzola,lunch,,8,10.5,18.5,196,20,294,4,11,,,15 mins,5
165,Southwestern Black Bean Salad,appetizer,1,3,3.5,12,79.5,,127,3,1,5,0,35 mins,5
166,Mediterranean Quinoa Salad,Quinoa,1,4.5,8,15.5,145.5,7.5,137,2.5,,10,20,30 mins,4.97
167,Grilled Shrimp Avocado Fennel and Orange Salad,dinner,1,26,12,19,283.5,172.5,196,6,8,30,15,45 mins,5
168,Antipasto Salad,lunch,1,16,16,19.5,254,37.5,,7.5,3,10,,10 mins,5
169,Homemade Croutons,,1,2,6.5,5,28.5,1,47,0.9,0.7,2,28,30 mins,5
170,Blood Orange Endive Salad,dinner,1,10,8.5,40.5,256,,246.5,23,16,,,15 mins,
171,Arugula Fig Salad with Goat Cheese,,1,2,4.5,20.5,125,,43,2,15,5,0,5 mins,5
172,Grilled Chicken and Spinach Salad with Balsamic Vinaigrette,Dinner,1,17.5,8,11.5,183,37,101.5,3,1.5,,10,20 mins,5
173,Mediterranean Chicken Kebab Salad,lunch,1,28.5,8,9,240,160,444,2.5,2,15,15,2 hrs 30 mins,4.80
174,Quinoa Salad with Spinach Grapefruit & Avocado,Quinoa,1,4.5,12.9,25.5,222,,26.8,5.9,1.6,10,10,20 mins,
175,Spinach and Butternut Squash Salad with Gorgonzola,lunch,1,7.5,13.5,26.5,241.5,5,160,5.5,8.5,5,25,30 mins,5
176,"Summer Tomatoes, Corn, Crab and Avocado Salad",appetizer,1,9,6,11.5,131,,263.5,4,2.5,,,15 mins,5
177,Tomato Mozzarella and Arugula Tower,lunch,1,12.2,23,9.2,276.6,,349.2,1.9,1.4,,,,5
178,BLT Macaroni Salad,,1,5.5,4.5,26.5,149,,146.5,4,,10,45,55 mins,4.56
179,Vietnamese Shaking Beef (Bo Luc Lac),Dinner,3,27.3,10.1,16.6,268.9,,1451,0.9,12,,,,4.55
180,Papaya Avocado Salad,Appetizer,,2,8.5,10.5,112.5,,,6,,,,20 mins,5
181,"Arugula with Pomegranates, Blue Cheese and Pistachios",lunch,1,6.5,13,13.5,195.5,,,4,,,,15 mins,
182,Shrimp Salad on Cucumber Slices,appetizer,7,18.8,2.8,3.7,117,165,275,1,,10,0,10 mins,5
183,Panzanella,lunch,1,3.1,2.9,17.7,104.3,,,2.2,,,,,5
184,Red Beet Salad,,1,1,,6.5,48.5,,,1.5,,10,,1 hr 10 mins,4.75
185,Avocado Salad with Citrus Vinaigrette,,1,3,14,14,171.5,,15.5,6,2,,,10 mins,4.34
186,Basil Green Goddess Salad Dressing,Lunch,2,1.3,4.9,2.9,60.3,,,0.3,,,,,5
187,Heirloom Tomato Salad,lunch,1,1,9,7.5,110.5,,139,1.5,,15,,15 mins,5
188,Swordfish Burgers with Lemon Vinaigrette,lunch,1,33.4,16,5.3,304.3,63,148.8,0.7,0.1,10,8,18 mins,5
189,"Blood Orange Salad with Gorgonzola, Pecans and Baby Greens",lunch,1,6.3,22.5,16.4,283.8,,263.1,4.4,13.1,,,,5
190,Pan Seared Scallops with Baby Greens and Citrus Mojo Vinaigrette,lunch,1,20.5,9.5,8.5,212,42.5,206.5,1.5,4,,,,5
191,Broccoli and Cauliflower Salad with Capers in Lemon Vinaigrette,,1,3.2,7,7.6,97,,121.5,3.5,,,,20 mins,
192,Autumn Salad with Pears and Gorgonzola,Lunch,1,4.5,12.5,10.5,160.5,,,2,2,5,,5 mins,5
193,Grilled Zucchini and Tomato Salad – 0 pts,,1,,,,,,,,,,,,
194,Mixed Baby Greens and Arugula with Blackberries and Pecans,Lunch,1,2.1,14.1,6.9,155.6,,14.8,2.8,2.8,,,,5
