,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
58,Shrimp Ceviche,appetizer,1,24,2,7,147,167,553,1,2,10,0,30 mins,5
59,Shrimp Egg Rolls (Air Fryer or Baked),Appetizer,1,11,3,16,137,,414,1,1.5,10,15,25 mins,4.93
60,Asparagus and Feta Tartlet with Phyllo Crust,Asparagus,1,4.5,5,7.5,91,73.5,170,0.5,1.5,15,35,50 mins,4.62
61,Spicy Crunchy Tuna Tartare,appetizer,1,18.6,10.3,7.9,197.6,,,3.1,,15,0,15 mins,5
62,Air Fryer Lobster Jalapeño Empanadas,lunch,1,9.5,5,21.5,165,56,252,1,2,10,20,30 mins,
63,Air Fryer Buffalo Chicken Zucchini Skins,appetizer,1,9.5,3,3.5,80,25.5,452.5,1,2,15,10,25 mins,5
64,Caramelized Onion Empanadas (Chilean pequenes),appetizer,2,5,9.5,29,218,41.5,497,3,6,25,50,1 hr 15 mins,4.13
65,Pastrami Reuben Egg Rolls,appetizer,2,23,9.5,44,360,50,1297,3,3,15,10,25 mins,4.97
66,Pumpkin Pie Dip,appetizer,1,2,4,21,105,1,10,1,17,15,0,15 mins,4.93
67,Easy Crustless Spinach and Feta Pie,appetizer,1,9,5,12,126,69,433,2.5,1.5,10,30,40 mins,4.60
68,Salmon Croquettes with Dill Sauce,appetizer,1,26,16,4.5,278,169,542,0.5,1,20,10,30 mins,3.96
69,The Best Baba Ganoush,appetizer,1,2.5,9,15.5,140,,743.5,4.5,5,5,25,30 mins,4.70
70,Jamaican Beef Patties,Appetizer,1,11.5,4.5,25,191,29,412,2,1,30,30,2 hrs,3.96
71,Avocado Mango Salsa,appetizer,1,1.5,6,11.5,96,,6.5,3,7,5,0,5 mins,4.95
72,Eggplant Sticks (Baked or Air Fryer),appetizer,1,4.5,3,12,87,2,441,2.5,1,10,15,25 mins,4.92
73,Whole Roasted Baby Cauliflower,appetizer,1,1.5,3.5,3.5,46.5,,600,1.5,1.5,5,40,45 mins,4.77
74,Air Fryer Bacon-Burger Bites,appetizer,2,13.5,6.5,2,125,39.5,521.5,0.5,0.5,10,20,30 mins,4.91
75,Stuffed Mushrooms with Broccoli Rabe and Sausage,appetizer,3,13,5.5,6,121,45,422,1,1.5,15,50,1 hr 5 mins,5
76,Baked Turkey Croquettes,Dinner,3,13.8,6.2,26.9,217,60.5,713.5,2.7,2,20,15,35 mins,4.69
77,Prosciutto Wrapped Figs with Blue Cheese (Grill or Air Fryer),appetizer,2,7.5,10.5,27,221,20.5,572,4,22,10,5,15 mins,5
78,Air Fryer Bacon Wrapped Scallops,dinner,4,20,4,3.5,138,32,654,,,5,20,25 mins,4.82
79,Caprese Salad,appetizer,1,6.5,7.5,2,100,22.5,180,0.5,0.5,5,0,5 mins,
80,Air Fryer Shishito Peppers,asparagus,2,1.5,,2.5,15,,76.5,0.5,2,2,8,10 mins,5
81,Bruschetta with Tomato and Basil,appetizer,1,1.1,0.6,9.1,49.6,,2,0.5,0.2,10,15,25 mins,4.91
82,Grilled Vegetable Platter with Yogurt Mint Sauce,asparagus,1,11,9.5,21,196,6.5,167.5,6,10,15,10,25 mins,5
83,Zesty Lime Shrimp and Avocado Salad,appetizer,1,25,8,7,197,221,330,3,,20,0,20 mins,4.91
84,Everything Parmesan Crisps,appetizer,1,5.5,4.5,1.5,66,10,233,0.5,0.5,15,15,30 mins,5
85,Crispy Avocado Egg Rolls (Air Fryer or Oven),Appetizer,1,3.5,8,17.5,148,4.5,304,3,1.5,15,15,30 mins,4.43
86,Buffalo Chicken Egg Rolls,appetizer,2,20,6,24.5,231.5,24.5,1020,1,1.5,15,30,45 mins,4.88
87,Air Fryer Bacon Wrapped Chicken Bites,appetizer,3,16,3.5,,98,44,130.5,,,10,8,18 mins,4.75
88,How To Make An Antipasto Salad Platter,appetizer,,,,,,,,,,10,0,10 mins,5
89,Leftover Turkey Pot Pie Empanadas,Appetizer,1,9.5,5,24.5,174,31,315,0.5,,10,30,40 mins,5
90,Zucchini Carpaccio,appetizer,1,3,6,5,81,5,90,2,2,20,,20 mins,5
91,Steamed Mussels with Piri Piri,dinner,1,13.5,18,7,274,36,723.5,0.5,1,20,6,26 mins,5
92,Zucchini Pork Dumplings,appetizer,5,16,14.5,12,240,51,616.5,2,5.5,45,15,1 hr,4.62
93,Avocado Fries with Lime Dipping Sauce (Air Fryer or Oven),appetizer,4,7,12.5,15,197,94.5,521.5,4,1.5,,,15 mins,4.63
94,Smoked Salmon Pinwheels,appetizer,4,13.5,10,5,168,22,898,1,1.5,,,20 mins,5
95,Tuna Deviled Eggs,lunch,4,26.5,16,3,264,397,472,,1,20,,20 mins,4.59
96,Bangin Good Shrimp,lunch,2,24,7.5,12,215,178,438,1,6,15,5,20 mins,4.97
97,Air Fryer Tostones (Twice Air Fried Plantains),appetizer,4,1,,27,102,,250,2,12,5,20,25 mins,4.50
98,Easy Garlic Knots (Air Fryer or Baked),appetizer,1,5,1.5,14,87,3,145,0.5,1,10,20,30 mins,4.84
99,Cauliflower Rice (Arancini) Balls,Cauliflower Rice,3,21.5,11.5,15.6,257,95.5,644,3,2.5,5,25,30 mins,4.74
100,Easy No-Cook Salsa Recipe,appetizer,3,1,,5,28,,201,1,2,5,0,5 mins,4.91
101,California Spicy Crab Stuffed Avocado,Appetizer,1,12,13,7,194,60,746,4,1,10,0,10 mins,4.88
102,Ahi Tuna Watermelon Salad,appetizer,1,29.5,5.5,13,217,44,429.5,1,8,10,,1 hr,5
103,Baked Zucchini Sticks (Oven or Air Fryer),appetizer,16,9,2,26,154,,327,3,7,10,25,35 mins,4.72
104,Waffled Crab Cakes,appetizer,1,15.5,4.5,9.5,133,111,635,1.5,0.5,,,30 mins,4.78
105,Baked Shrimp Taquitos,lunch,2,18,7.5,27.5,245,98.5,201.5,4,0.5,15,15,30 mins,4.82
106,Salsa Verde,appetizer,1,0.5,0.5,4,20,,161,1.2,2.3,10,20,30 mins,5
107,Asparagus and Caramelized Onion Tartlets,Asparagus,2,3,2.5,5,48,4,77,0.5,0.5,10,20,30 mins,5
108,Korean-Inspired Turkey Gochujang Meatballs,appetizer,3,14,7,6,140,75,321,0.5,3,10,25,35 mins,5
109,Burger Slider Skewers,burger,1,8,2.5,1.5,66,20,293.5,0.5,0.5,20,10,30 mins,4.75
110,Hot Spinach Dip,Appetizer,1,5.5,6,3.5,85,14,181.5,0.5,0.5,10,20,30 mins,4.69
111,Shrimp Ceviche Cocktail,appetizer,1,11,4,5,100,98,135,2,1,20,0,20 mins,5
112,Sweet Potato and Carrot “Tots”,Appetizer,5,4,2,16,98,33.5,255,2,1.5,,,40 mins,4.67
113,Baked Sweet Potato Skins,appetizer,2,8,6,25,150.5,6,445,5,6,10,50,1 hr,
114,Baked Mozzarella Sticks,appetizer,2,7.5,5,7,87,21,168.5,0.5,0.5,15,10,1 hr 25 mins,4.60
115,Shrimp Summer Rolls with Peanut Hoisin Dipping Sauce,appetizer,1,5,6,17,138,22,193,3,3,30,,30 mins,4.82
116,Hot Spinach Artichoke Dip,Appetizer,1,5,4.5,3.5,73,10.5,245,1,0.5,10,5,15 mins,4.95
117,Sweet ‘n Spicy BBQ Turkey Meatballs with Bacon,appetizer,3,12,5.5,5,122,60,207,0.5,3,25,16,40 mins,5
118,Spicy Garlic Edamame,appetizer,1,10,7,14,152,,573,4.5,7,5,10,15 mins,5
119,Avocado and Lump Crab Salad,lunch,1,9.5,13,9,178,50,447,5,1,10,0,10 mins,4.91
120,Eggplant Meatballs,appetizer,4,10.5,7.5,31,222.5,41,1066,6,6,20,30,50 mins,4.85
121,Shrimp Salsa,appetizer,1,14.5,0.5,4,74,107,277,1,2,10,0,15 mins,5
122,Grilled Rainbow Peppers with Herb Cream Cheese,appetizer,4,3,4,4,94,8,131,0.5,3,15,15,30 mins,3.34
123,Watermelon “Pizza” with Feta and Balsamic,appetizer,2,2,3,14,90,6,148,1,12,15,0,15 mins,4.67
124,Mushroom Ceviche,appetizer,1,3,5,11,90,,406,2,2,15,,3 hrs 15 mins,5
125,Spiralized Mediterranean Beet and Feta Skillet Bake,appetizer,1,5,12,9,160.5,25,483,2,3,,,30 mins,5
126,Two Tomato Bruschetta,appetizer,2,5,9,17,162,9,338.5,2.5,3.5,10,10,20 mins,
127,Honey-Lime Meatballs (Slow Cooker),appetizer,4,14,4,12,140,34,350,1,5,20,,4 hrs 20 mins,5
128,Crab Guacamole,dinner,1,6,6,4.5,96,25,144,2,,10,0,10 mins,
129,Mini Greek Spinach Pies,Appetizer,2,2,4,6,69,2,107,1,1,10,35,45 mins,5
130,Baked Buffalo Chicken Nuggets,appetizer,10,28,6,11,211,83,379,2,,10,15,25 mins,5
131,Chilled Lobster Salad with Sweet Summer Corn and Tomatoes,Appetizer,1,39,10.5,25.5,349,122,668,4,3.5,10,5,15 mins,5
132,BBQ Shrimp Skewers,appetizer,1,23,2,6,139,172,253,,4,20,10,30 mins,
133,Baked Tostones (Green Plantains),appetizer,6,1,1,36.5,137,,6,3,16,10,20,30 mins,4.89
134,Picadillo Quesadillas,lunch,1,22,10,15,211,30,563,8,1,10,5,15 mins,5
135,Asian Turkey Meatballs With Lime Sesame Dipping Sauce,dinner,3,30,15,7,300,148,866,1,1,20,15,35 mins,4.74
136,Spicy Shrimp with Chilies and Garlic,appetizer,2,23,4,3,147,172,171,,,7,8,15 mins,
137,Crab and Avocado Phyllo Bites,appetizer,1,2,2,3,37,12,134,,,10,10,20 mins,5
138,Skinny Buffalo Chicken Strips,appetizer,2,21,2,2,111,43,640,1,,10,20,30 mins,4.72
139,Baked Mini Spinach and Sausage Arancini,Appetizer,2,5,3,11,89,27,254,1,1,,,45 mins,
140,Ceviche Cucumber Cups,lunch,2,4,1,2,31,8,16,,1,,,,5
141,Cauliflower Tots,Appetizer,8,10,5,16,148,57,397,3,3,10,20,30 mins,4.75
142,Sweet Potato Irish Nachos,appetizer,1,9,9,28,227,10,189,5,10,15,15,30 mins,5
143,Grilled Cilantro Lime Shrimp Kebabs,appetizer,1,13,1,3,74,94,384,1,,25,5,30 mins,5
144,Southwestern Black Bean Salad,appetizer,1,3,3.5,12,79.5,,127,3,1,5,0,35 mins,5
145,Guacamole Deviled Eggs,appetizer,2,5,6,3,88,62,60,2,0.5,30,,30 mins,4.88
146,Hot and Spicy Buffalo Shrimp Dip,appetizer,1,13,7,2,120,87,672,,0.9,10,30,40 mins,4
147,Skinny Queso Dip,appetizer,1,6.5,4.5,7,92.5,,143,1,2,,,30 mins,4.67
148,Spicy Buffalo Cauliflower Bites,appetizer,,4,2,21.5,119.5,,1172,3,0.2,5,25,30 mins,4.35
149,Hot and Cheesy Crab and Artichoke Dip,appetizer,1,6,4,4,78,14.5,427,,,15,30,45 mins,3.86
150,Veggie Shooters (Crudites with Ranch Dip),appetizer,1,4,2,10,73,4.4,331,1,4,20,,20 mins,5
151,Skinny Buffalo Chicken Potato Skins,lunch,1,8,2,7,82,17,110,1,0.5,15,30,4 hrs 45 mins,4
152,Pan con Tomate (Spanish Tomato Bread),appetizer,2,5.5,4.5,31,186,,385,2,,10,5,15 mins,5
153,Oven “Fried” Pickles with light Herb Ranch Dip,Appetizer,6,2.4,1.4,9.1,58.6,23,1248.8,0.6,0.3,30,10,40 mins,4
154,Bang Bang Grilled Shrimp Skewers,appetizer,2,18.5,4.5,4,140,140,267,0.5,3,10,8,18 mins,5
155,Skinny Texas Cheese Fries,Appetizer,1,10.5,12,30,265,19.5,305.5,3,1.5,10,15,25 mins,4.75
156,Loaded Turkey Santa Fe Baked Potato Skins,breakfast,1,6.5,2,10,76.5,8.5,93,1.5,0.5,10,55,1 hr 5 mins,5
157,Asian Flank Steak Skewers,appetizer,4,18,7,2,150,,400,0.5,,,10,1 hr 10 mins,4.10
158,Bacon Wrapped Chicken Bites,appetizer,3,16,3.5,,98,44,130.5,,,5,24,30 mins,4.67
159,Easy Baked Coconut Shrimp,appetizer,3,10,3.5,22,161.5,,164,2,15.5,,,30 mins,4.88
160,"Summer Tomatoes, Corn, Crab and Avocado Salad",appetizer,1,9,6,11.5,131,,263.5,4,2.5,,,15 mins,5
161,Persian Turkey Kofta Kebabs,appetizer,3,23,8.5,5,185.5,79,114.5,1,0.5,15,10,55 mins,4.78
162,Salsa Picante Roja (Spicy Red),Appetizer,1,0.5,1,3.5,22.5,,6,1,0.5,10,20,30 mins,
163,Healthy Baked Chicken Nuggets,lunch,4,26,4.5,8,188,57,427,,0.5,,,30 mins,4.73
164,Baked Onion Rings,burger,1,3,0.6,15,75,1,53,2,2,10,12,22 mins,3.50
165,Papaya Avocado Salad,Appetizer,,2,8.5,10.5,112.5,,,6,,,,20 mins,5
166,Baked Seasoned Fries with Skinny Garlic Aioli,Appetizer,1,3.5,5.3,36.1,198,,22.1,4,,,,,5
167,Southwest Turkey Meatballs,cauliflower rice,2,10.5,2,2.5,67,,,0.5,,10,15,25 mins,5
168,Creamy Parmesan Spinach Dip,Appetizer,1,3.2,6.2,3.3,79.4,,,0.9,,,,,4.80
169,Chipotle Sweet Potato Fries,Appetizer,6,3,5,42,223,,309,5.5,7,5,25,30 mins,5
170,Skinny Ranch Dip,Appetizer,1,0.8,3.5,1.7,41.3,,,0.2,,,,,5
171,Shrimp Salad on Cucumber Slices,appetizer,7,18.8,2.8,3.7,117,165,275,1,,10,0,10 mins,5
172,Tzatziki Sauce,Appetizer,1,2.6,,1.7,18,,,0.1,,10,0,10 mins,4.89
173,Steamed Clams with Fresh Basil,lunch,1,22.4,8.5,6.1,234.3,,,0.2,,,,,5
174,Edamame Hummus,lunch,1,6.1,6.7,7.2,107.4,,11.4,3.8,0.5,,,,5
175,Taco Dip,appetizer,1,2,3.5,4.5,59,11.5,223.5,0.5,2,20,0,20 mins,4.85
176,Broccoli and Cheddar Skinny Potato Skins,Appetizer,2,13.1,2.9,30,192.7,,,4.3,,,,,
177,Easy Beef Carpaccio,appetizer,1,8.3,5.3,0.6,79.6,,,0.1,,,,,
178,Baked Lump Crab Cakes with Red Pepper Chipotle Lime Sauce,Appetizer,1,13,9,12,174,,,1.3,,15,20,1 hr 5 mins,4.92
179,Italian Stuffed Artichokes,lunch,,17.6,10.7,46.2,357.9,,,8.5,,,,,5
180,Chicken Quesadilla,Dinner,1,47.5,31.5,30.5,435,102.5,1009.5,16.5,5,10,15,25 mins,5
181,Mozzarella Basil and Tomato Skewers,appetizer,1,7.3,7.2,3.3,106.1,,137.1,0.6,0.1,,,,
182,Chickpea and Roasted Pepper Dip,Appetizer,1,6,5,28,171,,323,5,,,,,5
183,Mussels in Basil Cream Sauce,Appetizer,14,20.6,24,11.7,370.6,,973.1,0.4,2.1,,,,5
184,Skinny Buffalo Wings,dinner,2,19,13.5,4,204,56.5,812,0.6,1,5,20,55 mins,4.55
185,Baked Tostones,appetizer,1,1.1,4.8,38.2,184,,6.6,2.7,17.5,20,25,45 mins,3.67
