,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
89,Cream of Zucchini Soup,dinner,1,3.5,1,10,60,3,579,3,4,5,20,25 mins,4.82
90,Cream of Asparagus Leek Soup with Creme Fraiche,asparagus,,7,5,20,141,14,476,5,4,5,40,45 mins,5
91,Cauliflower Watercress Soup,,1,6,3,12,93,8,623,4,1,5,25,30 mins,5
92,Three Cheese Tortellini and Mushroom Soup,Instant Pot,1,7.5,3.5,19,137,13,708.5,2.5,4,5,30,35 mins,4.34
93,Chicken and Lentil Soup,lunch,1,23.5,3,40,263,40,503.5,6.5,1.5,5,45,50 mins,4.83
94,Chicken Shiitake and Wild Rice Soup,Dinner,1,13,4,27,200,42,844,2,2,10,50,1 hr,4.92
95,Creamy Slow Cooker Tomato Soup,lunch,1,8,10,17,177,21,600,3,8,10,40,6 hrs 50 mins,4.85
96,Creamy Chicken and Mushroom Soup,,1,13.6,3.4,12,111.5,5.2,538.8,0.9,1.4,,,,5
97,Corned Beef and Cabbage Soup,dinner,1,14,12,31.5,281,50,782,7,3.5,10,35,1 hr 45 mins,4.64
98,Crock Pot Picante Chicken and Black Bean Soup,lunch,1,28,6,37.5,306,,698.5,13.5,3,10,,4 hrs 10 mins,5
99,CrockPot Tuscan White Bean and Garlic Soup,,,15,3,41,241,,322,6,,5,,4 hrs 5 mins,4.50
100,Turkey Pot Pie Soup,,1,18,2,27,192,,,3,8.5,,,45 mins,4.86
101,Roasted Pumpkin Sage Soup,dinner,1,6,3,25,137.5,6,459,7,9,5,40,1 hr 45 mins,5
102,Creamy Mushroom Soup,lunch,1,3,2,11,65,4,571,1,3,10,20,30 mins,4.92
103,Beef Barley Soup,dinner,1,32,11,27,336,60,453,6,1.5,10,,2 hrs 10 mins,4.71
104,Irish Oatmeal Leek Soup,Dinner,,7.5,3,23,140.5,2,529,2.5,6,5,,1 hr,4.75
105,Roasted Red Kuri Coconut Curry Soup,appetizer,,1.7,4,14.1,98,,807.6,2.2,1.6,10,30,1 hr 40 mins,5
106,Roasted Acorn Squash Soup with Leeks and Pepitas,lunch,1,3.9,4.9,19.4,121.8,,310.9,5.1,0.9,5,,1 hr 5 mins,4.50
107,Halibut and Shellfish Soup,Dinner,1,49.8,5.8,9.4,300.4,220,1023.3,1.2,1.5,15,15,30 mins,4.67
108,Chicken and Cavatelli Noodle Soup,lunch,1,35,8,33,347,129.5,1137,2,2,10,40,50 mins,4.67
109,"Beef, Potato and Quinoa Soup",quinoa,1,15.7,13.8,31.3,307.9,38.6,277,4.6,2,10,,2 hrs,4.93
110,Tomato Bisque,,2,4.5,4.4,19.5,125,15,1064,4.5,3,10,35,45 mins,4.64
111,Homemade Chicken Broth From Your Crock Pot,,1,1,,,10,,860,,1,10,,4 hrs 10 mins,5
112,"Turkey Sausage, Kale and White Bean Soup",Dinner,2,33,13,15,320.5,105,697,5,1,10,35,45 mins,4.67
113,Spinach Stracciatella Soup with Orzo,dinner,1,10,4,11,127,69,868,1,2,10,20,30 mins,5
114,Butternut Squash Soup with Sage,Dinner,1,2.5,0.5,11.5,56,,300,2.5,1.5,15,45,1 hr,4.28
115,Dad’s Cauliflower Soup,,1,3.3,0.6,8.8,45.1,0.3,469.1,3.7,,5,25,30 mins,5
116,Split Pea Soup with Ham,Dinner,1,27,8.5,54.5,394,33.5,606,18,7.5,5,,2 hrs,4.87
